166105 信达增利 深证基金   xdzl
600637 东方明珠 上海A股   dfmz
600638 新黄浦 上海A股   xhp
600639 浦东金桥 上海A股   pdjq
600640 号百控股 上海A股   hbkg
600641 万业企业 上海A股   wyqy
600642 申能股份 上海A股   sngf
600643 爱建集团 上海A股   ajjt
600644 乐山电力 上海A股   lsdl
600645 中源协和 上海A股   zyxh
600646 ST国嘉 上海A股   STgj
600647 同达创业 上海A股   tdcy
600648 外高桥 上海A股   wgq
600649 城投控股 上海A股   ctkg
600650 锦江投资 上海A股   jjtz
600651 飞乐音响 上海A股   flyx
600652 游久游戏 上海A股   yjyx
600653 申华控股 上海A股   shkg
600654 中安消 上海A股   zax
600655 豫园商城 上海A股   yysc
600657 信达地产 上海A股   xddc
600658 电子城 上海A股   dzc
600659 *ST花雕 上海A股   SThd
600660 福耀玻璃 上海A股   fybl
600661 新南洋 上海A股   xny
600662 强生控股 上海A股   qskg
600663 陆家嘴 上海A股   ljz
600664 哈药股份 上海A股   hygf
600665 天地源 上海A股   tdy
600666 奥瑞德 上海A股   ard
600667 太极实业 上海A股   tjsy
600668 尖峰集团 上海A股   jfjt
600669 *ST鞍成 上海A股   STac
600670 *ST斯达 上海A股   STsd
600671 天目药业 上海A股   tmyy
600672 *ST华圣 上海A股   SThs
600673 XD东阳光 上海A股   XDdyg
600674 川投能源 上海A股   ctny
600675 *ST中企 上海A股   STzq
600676 交运股份 上海A股   jygf
600677 航天通信 上海A股   httx
600678 四川金顶 上海A股   scjd
600679 上海凤凰 上海A股   shfh
600680 上海普天 上海A股   shpt
600681 百川能源 上海A股   bcny
600682 南京新百 上海A股   njxb
600683 京投银泰 上海A股   jtyt
600684 珠江实业 上海A股   zjsy
600685 中船防务 上海A股   zcfw
600686 金龙汽车 上海A股   jlqc
600687 刚泰控股 上海A股   gtkg
600688 上海石化 上海A股   shsh
600689 上海三毛 上海A股   shsm
600690 青岛海尔 上海A股   qdhe
600691 阳煤化工 上海A股   ymhg
600692 亚通股份 上海A股   ytgf
600693 东百集团 上海A股   dbjt
600694 大商股份 上海A股   dsgf
600695 绿庭投资 上海A股   lttz
600696 匹凸匹 上海A股   ptp
600697 欧亚集团 上海A股   oyjt
600698 湖南天雁 上海A股   hnty
600699 均胜电子 上海A股   jsdz
600700 *ST数码 上海A股   STsm
600701 *ST工新 上海A股   STgx
600702 沱牌舍得 上海A股   tpsd
600703 三安光电 上海A股   sagd
600704 物产中大 上海A股   wczd
600705 中航资本 上海A股   zhzb
600706 曲江文旅 上海A股   qjwl
600707 彩虹股份 上海A股   chgf
600708 光明地产 上海A股   gmdc
600709 ST生态 上海A股   STst
600710 *ST常林 上海A股   STcl
600711 盛屯矿业 上海A股   stky
600712 南宁百货 上海A股   nnbh
600713 南京医药 上海A股   njyy
600714 金瑞矿业 上海A股   jrky
600715 文投控股 上海A股   wtkg
600716 凤凰股份 上海A股   fhgf
600717 天津港 上海A股   tjg
600718 东软集团 上海A股   drjt
600719 大连热电 上海A股   dlrd
600720 祁连山 上海A股   qls
600721 *ST百花 上海A股   STbh
600722 金牛化工 上海A股   jnhg
600723 首商股份 上海A股   ssgf
600724 宁波富达 上海A股   nbfd
600725 *ST云维 上海A股   STyw
600726 华电能源 上海A股   hdny
600727 鲁北化工 上海A股   lbhg
600728 佳都科技 上海A股   jdkj
600729 重庆百货 上海A股   cqbh
600730 中国高科 上海A股   zggk
600731 湖南海利 上海A股   hnhl
600732 *ST新梅 上海A股   STxm
600733 S前锋 上海A股   Sqf
600734 实达集团 上海A股   sdjt
600735 新华锦 上海A股   xhj
600736 苏州高新 上海A股   szgx
600737 中粮屯河 上海A股   zlth
600738 兰州民百 上海A股   lzmb
600739 辽宁成大 上海A股   lncd
600740 山西焦化 上海A股   sxjh
600741 华域汽车 上海A股   hyqc
600742 一汽富维 上海A股   yqfw
600743 华远地产 上海A股   hydc
600744 华银电力 上海A股   hydl
600745 中茵股份 上海A股   zygf
600746 江苏索普 上海A股   jssp
600747 大连控股 上海A股   dlkg
600748 上实发展 上海A股   ssfz
600749 西藏旅游 上海A股   xcly
600750 江中药业 上海A股   jzyy
600751 天海投资 上海A股   thtz
600752 *ST哈慈 上海A股   SThc
600753 东方银星 上海A股   dfyx
600754 锦江股份 上海A股   jjgf
600755 厦门国贸 上海A股   smgm
600756 浪潮软件 上海A股   lcrj
600757 长江传媒 上海A股   cjcm
600758 红阳能源 上海A股   hyny
600759 洲际油气 上海A股   zjyq
600760 *ST黑豹 上海A股   SThb
600761 安徽合力 上海A股   ahhl
600762 S*ST金荔 上海A股   SSTjl
600763 通策医疗 上海A股   tcyl
600764 中电广通 上海A股   zdgt
600765 中航重机 上海A股   zhzj
600766 园城黄金 上海A股   ychj
600767 运盛医疗 上海A股   ysyl
600768 宁波富邦 上海A股   nbfb
600769 祥龙电业 上海A股   xldy
600770 综艺股份 上海A股   zygf
600771 广誉远 上海A股   gyy
600772 S*ST龙昌 上海A股   SSTlc
600773 西藏城投 上海A股   xcct
600774 汉商集团 上海A股   hsjt
600775 南京熊猫 上海A股   njxm
600776 东方通信 上海A股   dftx
600777 新潮实业 上海A股   xcsy
600778 友好集团 上海A股   yhjt
600779 水井坊 上海A股   sjf
600780 通宝能源 上海A股   tbny
600781 辅仁药业 上海A股   fryy
600782 新钢股份 上海A股   xggf
600783 鲁信创投 上海A股   lxct
600784 鲁银投资 上海A股   lytz
600785 新华百货 上海A股   xhbh
600786 东方锅炉 上海A股   dfgl
600787 中储股份 上海A股   zcgf
600788 *ST达曼 上海A股   STdm
600789 鲁抗医药 上海A股   lkyy
600790 轻纺城 上海A股   qfc
600791 京能置业 上海A股   jnzy
600792 云煤能源 上海A股   ymny
600793 ST宜纸 上海A股   STyz
600794 保税科技 上海A股   bskj
600795 国电电力 上海A股   gddl
600796 钱江生化 上海A股   qjsh
600797 浙大网新 上海A股   zdwx
600798 宁波海运 上海A股   nbhy
600799 *ST龙科 上海A股   STlk
600800 天津磁卡 上海A股   tjcq
600801 华新水泥 上海A股   hxsn
600802 福建水泥 上海A股   fjsn
600803 新奥股份 上海A股   xagf
600804 鹏博士 上海A股   pbs
600805 悦达投资 上海A股   ydtz
600806 *ST昆机 上海A股   STkj
600807 天业股份 上海A股   tygf
600808 马钢股份 上海A股   mggf
600809 山西汾酒 上海A股   sxfj
600810 神马股份 上海A股   smgf
600811 东方集团 上海A股   dfjt
600812 华北制药 上海A股   hbzy
600813 ST鞍一工 上海A股   STayg
600814 杭州解百 上海A股   hzjb
600815 厦工股份 上海A股   sggf
600816 安信信托 上海A股   axxt
600817 *ST宏盛 上海A股   SThs
600818 中路股份 上海A股   zlgf
600819 耀皮玻璃 上海A股   ypbl
600820 隧道股份 上海A股   sdgf
600821 津劝业 上海A股   jqy
600822 上海物贸 上海A股   shwm
600823 世茂股份 上海A股   smgf
600824 益民集团 上海A股   ymjt
600825 新华传媒 上海A股   xhcm
600826 兰生股份 上海A股   lsgf
600827 百联股份 上海A股   blgf
600828 茂业商业 上海A股   mysy
600829 人民同泰 上海A股   rmtt
600830 香溢融通 上海A股   xyrt
600831 广电网络 上海A股   gdwl
600832 东方明珠 上海A股   dfmz
600833 第一医药 上海A股   dyyy
600834 申通地铁 上海A股   stdt
600835 上海机电 上海A股   shjd
600836 界龙实业 上海A股   jlsy
600837 海通证券 上海A股   htzq
600838 上海九百 上海A股   shjb
600839 四川长虹 上海A股   scch
600840 新湖创业 上海A股   xhcy
600841 上柴股份 上海A股   scgf
600842 中西药业 上海A股   zxyy
600843 上工申贝 上海A股   sgsb
600844 丹化科技 上海A股   dhkj
600845 宝信软件 上海A股   bxrj
600846 同济科技 上海A股   tjkj
600847 万里股份 上海A股   wlgf
600848 上海临港 上海A股   shlg
600849 上药转换 上海A股   syzh
600850 华东电脑 上海A股   hddn
600851 海欣股份 上海A股   hxgf
600852 *ST中川 上海A股   STzc
600853 龙建股份 上海A股   ljgf
600854 春兰股份 上海A股   clgf
600855 航天长峰 上海A股   htcf
600856 中天能源 上海A股   ztny
600857 宁波中百 上海A股   nbzb
600858 银座股份 上海A股   yzgf
600859 王府井 上海A股   wfj
600860 京城股份 上海A股   jcgf
600861 北京城乡 上海A股   bjcx
600862 南通科技 上海A股   ntkj
600863 内蒙华电 上海A股   nmhd
600864 哈投股份 上海A股   htgf
600865 百大集团 上海A股   bdjt
600866 *ST星湖 上海A股   STxh
600867 通化东宝 上海A股   thdb
600868 梅雁吉祥 上海A股   myjx
600869 智慧能源 上海A股   zhny
600870 厦华电子 上海A股   shdz
600871 石化油服 上海A股   shyf
600872 中炬高新 上海A股   zjgx
600873 梅花生物 上海A股   mhsw
600874 创业环保 上海A股   cyhb
600875 东方电气 上海A股   dfdq
600876 洛阳玻璃 上海A股   lybl
600877 中国嘉陵 上海A股   zgjl
600878 *ST北科 上海A股   STbk
600879 航天电子 上海A股   htdz
600880 博瑞传播 上海A股   brcb
600881 亚泰集团 上海A股   ytjt
600882 华联矿业 上海A股   hlky
600883 博闻科技 上海A股   bwkj
600884 杉杉股份 上海A股   ssgf
600885 宏发股份 上海A股   hfgf
600886 国投电力 上海A股   gtdl
600887 伊利股份 上海A股   ylgf
600888 新疆众和 上海A股   xjzh
600889 南京化纤 上海A股   njhx
600890 中房股份 上海A股   zfgf
600891 秋林集团 上海A股   qljt
600892 宝诚股份 上海A股   bcgf
600893 中航动力 上海A股   zhdl
600894 广日股份 上海A股   grgf
600895 张江高科 上海A股   zjgk
600896 中海海盛 上海A股   zhhs
600897 厦门空港 上海A股   smkg
600898 三联商社 上海A股   slss
600899 *ST信联 上海A股   STxl
600900 长江电力 上海A股   cjdl
600917 重庆燃气 上海A股   cqrq
600958 东方证券 上海A股   dfzq
600959 江苏有线 上海A股   jsyx
600960 渤海活塞 上海A股   bhhs
600961 株冶集团 上海A股   zyjt
600962 国投中鲁 上海A股   gtzl
600963 岳阳林纸 上海A股   yylz
600965 福成股份 上海A股   fcgf
600966 博汇纸业 上海A股   bhzy
600967 北方创业 上海A股   bfcy
600969 郴电国际 上海A股   cdgj
600970 中材国际 上海A股   zcgj
600971 恒源煤电 上海A股   hymd
600973 宝胜股份 上海A股   bsgf
600975 新五丰 上海A股   xwf
600976 健民集团 上海A股   jmjt
600978 宜华木业 上海A股   yhmy
600979 广安爱众 上海A股   gaaz
600980 北矿磁材 上海A股   bkcc
600981 汇鸿集团 上海A股   hhjt
600982 宁波热电 上海A股   nbrd
600983 惠而浦 上海A股   hep
600984 建设机械 上海A股   jsjx
600985 雷鸣科化 上海A股   lmkh
600986 科达股份 上海A股   kdgf
600987 航民股份 上海A股   hmgf
600988 赤峰黄金 上海A股   cfhj
600990 四创电子 上海A股   scdz
600991 广汽长丰 上海A股   gqcf
600992 贵绳股份 上海A股   gsgf
600993 马应龙 上海A股   myl
600995 文山电力 上海A股   wsdl
600997 开滦股份 上海A股   klgf
600998 九州通 上海A股   jzt
600999 招商证券 上海A股   zszq
601000 唐山港 上海A股   tsg
601001 大同煤业 上海A股   dtmy
601002 晋亿实业 上海A股   jysy
601003 柳钢股份 上海A股   lggf
601005 重庆钢铁 上海A股   cqgt
601006 大秦铁路 上海A股   dqtl
601007 金陵饭店 上海A股   jlfd
601008 连云港 上海A股   lyg
601009 南京银行 上海A股   njyx
601010 文峰股份 上海A股   wfgf
601011 宝泰隆 上海A股   btl
601012 隆基股份 上海A股   ljgf
601015 陕西黑猫 上海A股   sxhm
601016 节能风电 上海A股   jnfd
601018 宁波港 上海A股   nbg
601020 华钰矿业 上海A股   hyky
601021 春秋航空 上海A股   cqhk
601028 玉龙股份 上海A股   ylgf
601038 一拖股份 上海A股   ytgf
601058 赛轮金宇 上海A股   sljy
601069 西部黄金 上海A股   xbhj
601088 中国神华 上海A股   zgsh
601098 中南传媒 上海A股   zncm
601099 太平洋 上海A股   tpy
601100 恒立液压 上海A股   hlyy
601101 昊华能源 上海A股   hhny
601106 中国一重 上海A股   zgyz
601107 四川成渝 上海A股   sccy
601111 中国国航 上海A股   zggh
601113 华鼎股份 上海A股   hdgf
601116 三江购物 上海A股   sjgw
601117 中国化学 上海A股   zghx
601118 海南橡胶 上海A股   hnxx
601126 四方股份 上海A股   sfgf
601137 博威合金 上海A股   bwhj
601139 深圳燃气 上海A股   szrq
601155 新城控股 上海A股   xckg
601158 重庆水务 上海A股   cqsw
601166 兴业银行 上海A股   xyyx
601168 西部矿业 上海A股   xbky
601169 北京银行 上海A股   bjyx
601177 杭齿前进 上海A股   hcqj
601179 中国西电 上海A股   zgxd
601186 中国铁建 上海A股   zgtj
601188 龙江交通 上海A股   ljjt
601198 东兴证券 上海A股   dxzq
601199 江南水务 上海A股   jnsw
601208 东材科技 上海A股   dckj
601211 国泰君安 上海A股   gtja
601216 君正集团 上海A股   jzjt
601218 吉鑫科技 上海A股   jxkj
601222 林洋能源 上海A股   lyny
601225 陕西煤业 上海A股   sxmy
601226 华电重工 上海A股   hdzg
601231 环旭电子 上海A股   hxdz
601233 桐昆股份 上海A股   tkgf
601238 广汽集团 上海A股   gqjt
601258 庞大集团 上海A股   pdjt
601268 *ST二重 上海A股   STez
601288 农业银行 上海A股   nyyx
601299 中国北车 上海A股   zgbc
601311 骆驼股份 上海A股   ltgf
601313 江南嘉捷 上海A股   jnjj
601318 中国平安 上海A股   zgpa
601328 交通银行 上海A股   jtyx
601333 广深铁路 上海A股   gstl
601336 新华保险 上海A股   xhbx
601339 百隆东方 上海A股   bldf
601368 绿城水务 上海A股   lcsw
601369 陕鼓动力 上海A股   sgdl
601377 兴业证券 上海A股   xyzq
601388 怡球资源 上海A股   yqzy
601390 中国中铁 上海A股   zgzt
601398 工商银行 上海A股   gsyx
601515 东风股份 上海A股   dfgf
601518 吉林高速 上海A股   jlgs
601519 大智慧 上海A股   dzh
601555 东吴证券 上海A股   dwzq
601558 华锐风电 上海A股   hrfd
601566 九牧王 上海A股   jmw
601567 三星医疗 上海A股   sxyl
601579 会稽山 上海A股   hjs
601588 北辰实业 上海A股   bcsy
601599 鹿港科技 上海A股   lgkj
601600 中国铝业 上海A股   zgly
601601 中国太保 上海A股   zgtb
601607 上海医药 上海A股   shyy
601608 中信重工 上海A股   zxzg
601616 广电电气 上海A股   gddq
601618 中国中冶 上海A股   zgzy
601628 中国人寿 上海A股   zgrs
601633 长城汽车 上海A股   ccqc
601636 旗滨集团 上海A股   qbjt
601666 平煤股份 上海A股   pmgf
601668 中国建筑 上海A股   zgjz
601669 中国电建 上海A股   zgdj
601677 明泰铝业 上海A股   mtly
601678 滨化股份 上海A股   bhgf
601688 华泰证券 上海A股   htzq
601689 拓普集团 上海A股   tpjt
601699 潞安环能 上海A股   lahn
601700 风范股份 上海A股   ffgf
601717 郑煤机 上海A股   zmj
601718 际华集团 上海A股   jhjt
601727 上海电气 上海A股   shdq
601766 中国中车 上海A股   zgzc
601777 力帆股份 上海A股   lfgf
601788 光大证券 上海A股   gdzq
601789 宁波建工 上海A股   nbjg
601798 蓝科高新 上海A股   lkgx
601799 星宇股份 上海A股   xygf
601800 中国交建 上海A股   zgjj
601801 皖新传媒 上海A股   wxcm
601808 中海油服 上海A股   zhyf
601818 光大银行 上海A股   gdyx
601857 中国石油 上海A股   zgsy
601866 中海集运 上海A股   zhjy
601872 招商轮船 上海A股   zslc
601877 正泰电器 上海A股   ztdq
601880 大连港 上海A股   dlg
601886 江河集团 上海A股   jhjt
601888 中国国旅 上海A股   zggl
601890 亚星锚链 上海A股   yxml
601898 中煤能源 上海A股   zmny
601899 紫金矿业 上海A股   zjky
601900 南方传媒 上海A股   nfcm
601901 方正证券 上海A股   fzzq
601908 京运通 上海A股   jyt
601918 *ST新集 上海A股   STxj
601919 中国远洋 上海A股   zgyy
601928 凤凰传媒 上海A股   fhcm
601929 吉视传媒 上海A股   jscm
601933 永辉超市 上海A股   yhcs
601939 建设银行 上海A股   jsyx
601958 金钼股份 上海A股   jmgf
601965 中国汽研 上海A股   zgqy
601968 宝钢包装 上海A股   bgbz
601969 海南矿业 上海A股   hnky
601985 中国核电 上海A股   zghd
601988 中国银行 上海A股   zgyx
601989 中国重工 上海A股   zgzg
601991 大唐发电 上海A股   dtfd
601992 金隅股份 上海A股   jygf
601996 丰林集团 上海A股   fljt
601998 中信银行 上海A股   zxyx
601999 出版传媒 上海A股   cbcm
603000 人民网 上海A股   rmw
603001 奥康国际 上海A股   akgj
603002 宏昌电子 上海A股   hcdz
603003 龙宇燃油 上海A股   lyry
603005 晶方科技 上海A股   jfkj
603006 联明股份 上海A股   lmgf
603008 喜临门 上海A股   xlm
603009 北特科技 上海A股   btkj
603010 万盛股份 上海A股   wsgf
603011 合锻股份 上海A股   hdgf
603012 创力集团 上海A股   cljt
603015 弘讯科技 上海A股   hxkj
603017 中衡设计 上海A股   zhsj
603018 设计股份 上海A股   sjgf
603019 中科曙光 上海A股   zksg
603020 爱普股份 上海A股   apgf
603021 山东华鹏 上海A股   sdhp
603022 新通联 上海A股   xtl
603023 威帝股份 上海A股   wdgf
603025 大豪科技 上海A股   dhkj
603026 石大胜华 上海A股   sdsh
603027 千禾味业 上海A股   qhwy
603028 赛福天 上海A股   sft
603029 天鹅股份 上海A股   tegf
603030 全筑股份 上海A股   qzgf
603066 音飞储存 上海A股   yfcc
603077 和邦生物 上海A股   hbsw
603085 天成自控 上海A股   tczk
603088 宁波精达 上海A股   nbjd
603099 长白山 上海A股   cbs
603100 川仪股份 上海A股   cygf
603101 汇嘉时代 上海A股   hjsd
603108 润达医疗 上海A股   rdyl
603111 康尼机电 上海A股   knjd
603116 红蜻蜓 上海A股   hqt
603117 万林股份 上海A股   wlgf
603118 共进股份 上海A股   gjgf
603123 翠微股份 上海A股   cwgf
603126 中材节能 上海A股   zcjn
603128 华贸物流 上海A股   hmwl
603158 腾龙股份 上海A股   tlgf
603166 福达股份 上海A股   fdgf
603167 渤海轮渡 上海A股   bhld
603168 莎普爱思 上海A股   spas
603169 兰石重装 上海A股   lszz
603188 亚邦股份 上海A股   ybgf
603198 迎驾贡酒 上海A股   yjgj
603199 九华旅游 上海A股   jhly
603222 济民制药 上海A股   jmzy
603223 恒通股份 上海A股   htgf
603227 雪峰科技 上海A股   xfkj
603268 松发股份 上海A股   sfgf
603288 海天味业 上海A股   htwy
603299 井神股份 上海A股   jsgf
603300 华铁科技 上海A股   htkj
603306 华懋科技 上海A股   hmkj
603308 应流股份 上海A股   ylgf
603309 维力医疗 上海A股   wlyl
603311 金海环境 上海A股   jhhj
603315 福鞍股份 上海A股   fagf
603318 派思股份 上海A股   psgf
603328 依顿电子 上海A股   yddz
603333 明星电缆 上海A股   mxdl
603338 浙江鼎力 上海A股   zjdl
603339 四方冷链 上海A股   sfll
603355 莱克电气 上海A股   lkdq
603366 日出东方 上海A股   rcdf
603368 柳州医药 上海A股   lzyy
603369 今世缘 上海A股   jsy
603377 东方时尚 上海A股   dfss
603398 邦宝益智 上海A股   bbyz
603399 新华龙 上海A股   xhl
603456 九洲药业 上海A股   jzyy
603508 思维列控 上海A股   swlk
603518 维格娜丝 上海A股   wgns
603519 立霸股份 上海A股   lbgf
603520 司太立 上海A股   stl
603528 多伦科技 上海A股   dlkj
603555 贵人鸟 上海A股   grn
603558 健盛集团 上海A股   jsjt
603566 普莱柯 上海A股   plk
603567 珍宝岛 上海A股   zbd
603568 伟明环保 上海A股   wmhb
603588 高能环境 上海A股   gnhj
603589 口子窖 上海A股   kzj
603598 引力传媒 上海A股   ylcm
603599 广信股份 上海A股   gxgf
603600 永艺股份 上海A股   yygf
603601 再升科技 上海A股   zskj
603606 东方电缆 上海A股   dfdl
603608 天创时尚 上海A股   tcss
603609 禾丰牧业 上海A股   hfmy
603611 诺力股份 上海A股   nlgf
603616 韩建河山 上海A股   hjhs
603618 杭电股份 上海A股   hdgf
603636 南威软件 上海A股   nwrj
603669 灵康药业 上海A股   lkyy
603678 火炬电子 上海A股   hjdz
603686 龙马环卫 上海A股   lmhw
603688 石英股份 上海A股   sygf
603696 安记食品 上海A股   ajsp
603698 航天工程 上海A股   htgc
603699 纽威股份 上海A股   nwgf
603701 德宏股份 上海A股   dhgf
603703 盛洋科技 上海A股   sykj
603718 海利生物 上海A股   hlsw
603726 朗迪集团 上海A股   ldjt
603729 龙韵股份 上海A股   lygf
603766 隆鑫通用 上海A股   lxty
603778 乾景园林 上海A股   gjyl
603779 N威龙 上海A股   Nwl
603788 宁波高发 上海A股   nbgf
603789 星光农机 上海A股   xgnj
603798 康普顿 上海A股   kpd
603799 华友钴业 上海A股   hygy
603800 道森股份 上海A股   dsgf
603806 福斯特 上海A股   fst
603808 歌力思 上海A股   gls
603818 曲美家居 上海A股   qmjj
603822 嘉澳环保 上海A股   jahb
603828 柯利达 上海A股   kld
603838 四通股份 上海A股   stgf
603861 白云电器 上海A股   bydq
603866 桃李面包 上海A股   tlmb
603868 飞科电器 上海A股   fkdq
603869 北部湾旅 上海A股   bbwl
603883 老百姓 上海A股   lbx
603885 吉祥航空 上海A股   jxhk
603889 新澳股份 上海A股   xagf
603898 XD好莱客 上海A股   XDhlk
603899 晨光文具 上海A股   cgwj
603901 DR永创智 上海A股   DRycz
603918 金桥信息 上海A股   jqxx
603919 金徽酒 上海A股   jhj
603936 博敏电子 上海A股   bmdz
603939 益丰药房 上海A股   yfyf
603959 百利科技 上海A股   blkj
603968 醋化股份 上海A股   chgf
603969 银龙股份 上海A股   ylgf
603979 金诚信 上海A股   jcx
603988 中电电机 上海A股   zddj
603989 艾华集团 上海A股   ahjt
603993 洛阳钼业 上海A股   lymy
603996 中新科技 上海A股   zxkj
603997 继峰股份 上海A股   jfgf
603998 方盛制药 上海A股   fszy
603999 读者传媒 上海A股   dzcm
900901 仪电B股 上海B股   ydBg
900902 市北B股 上海B股   sbBg
900903 大众B股 上海B股   dzBg
900904 神奇B股 上海B股   sqBg
900905 老凤祥B 上海B股   lfxB
900906 中毅达B 上海B股   zydB
900907 鼎立B股 上海B股   dlBg
900908 氯碱B股 上海B股   ljBg
900909 双钱B股 上海B股   sqBg
900910 海立B股 上海B股   hlBg
900911 金桥B股 上海B股   jqBg
900912 外高B股 上海B股   wgBg
900913 国新B股 上海B股   gxBg
900914 锦投B股 上海B股   jtBg
900915 中路B股 上海B股   zlBg
900916 凤凰B股 上海B股   fhBg
900917 海欣B股 上海B股   hxBg
900918 耀皮B股 上海B股   ypBg
900919 绿庭B股 上海B股   ltBg
900920 上柴B股 上海B股   scBg
900921 丹科B股 上海B股   dkBg
900922 三毛B股 上海B股   smBg
900923 百联B股 上海B股   blBg
900924 上工B股 上海B股   sgBg
900925 机电B股 上海B股   jdBg
900926 宝信B 上海B股   bxB
900927 物贸B股 上海B股   wmBg
900928 临港B股 上海B股   lgBg
900929 锦旅B股 上海B股   jlBg
900930 沪普天B 上海B股   hptB
900931 PT水仙B 上海B股   PTsxB
900932 陆家B股 上海B股   ljBg
900933 华新B股 上海B股   hxBg
900934 锦江B股 上海B股   jjBg
900935 阳晨B股 上海B股   ycBg
900936 鄂资B股 上海B股   ezBg
900937 华电B股 上海B股   hdBg
900938 天海B 上海B股   thB
900939 汇丽B 上海B股   hlB
900940 大名城B 上海B股   dmcB
900941 东信B股 上海B股   dxBg
900942 黄山B股 上海B股   hsBg
900943 开开B股 上海B股   kkBg
900945 海航B股 上海B股   hhBg
900946 天雁B股 上海B股   tyBg
900947 振华B股 上海B股   zhBg
900948 伊泰B股 上海B股   ytBg
900949 东电B股 上海B股   ddBg
900950 新城B股 上海B股   xcBg
900951 大化B股 上海B股   dhBg
900952 锦港B股 上海B股   jgBg
900953 凯马B 上海B股   kmB
900955 海创B股 上海B股   hcBg
900956 东贝B股 上海B股   dbBg
900957 凌云B股 上海B股   lyBg
000001 平安银行 深证A股   payx
000002 万科A 深证A股   wkA
000003 PT金田A 深证A股   PTjtA
000004 国农科技 深证A股   gnkj
000005 世纪星源 深证A股   sjxy
000006 深振业A 深证A股   szyA
000007 全新好 深证A股   qxh
000008 神州高铁 深证A股   szgt
000009 中国宝安 深证A股   zgba
000010 美丽生态 深证A股   mlst
000011 深物业A 深证A股   swyA
000012 南玻A 深证A股   nbA
000013 *ST石化A 深证A股   STshA
000014 沙河股份 深证A股   shgf
000015 PT中浩A 深证A股   PTzhA
000016 深康佳A 深证A股   skjA
000017 深中华A 深证A股   szhA
000018 神州长城 深证A股   szcc
000019 深深宝A 深证A股   ssbA
000020 深华发A 深证A股   shfA
000021 深科技 深证A股   skj
000022 深赤湾A 深证A股   scwA
000023 深天地A 深证A股   stdA
000024 招商地产 深证A股   zsdc
000025 特力A 深证A股   tlA
000026 飞亚达A 深证A股   fydA
000027 深圳能源 深证A股   szny
000028 国药一致 深证A股   gyyz
000029 深深房A 深证A股   ssfA
000030 富奥股份 深证A股   fagf
000031 中粮地产 深证A股   zldc
000032 深桑达A 深证A股   ssdA
000033 *ST新都 深证A股   STxd
000034 神州数码 深证A股   szsm
000035 中国天楹 深证A股   zgty
000036 华联控股 深证A股   hlkg
000037 *ST南电A 深证A股   STndA
000038 深大通 深证A股   sdt
000039 中集集团 深证A股   zjjt
000040 宝安地产 深证A股   badc
000042 中洲控股 深证A股   zzkg
000043 中航地产 深证A股   zhdc
000045 深纺织A 深证A股   sfzA
000046 泛海控股 深证A股   fhkg
000047 ST中侨 深证A股   STzq
000048 康达尔 深证A股   kde
000049 德赛电池 深证A股   dsdc
000050 深天马A 深证A股   stmA
000055 方大集团 深证A股   fdjt
000056 皇庭国际 深证A股   htgj
000058 深赛格 深证A股   ssg
000059 华锦股份 深证A股   hjgf
000060 中金岭南 深证A股   zjln
000061 农产品 深证A股   ncp
000062 深圳华强 深证A股   szhq
000063 中兴通讯 深证A股   zxtx
000065 北方国际 深证A股   bfgj
000066 长城电脑 深证A股   ccdn
000068 华控赛格 深证A股   hksg
000069 华侨城A 深证A股   hqcA
000070 特发信息 深证A股   tfxx
000078 海王生物 深证A股   hwsw
000088 盐田港 深证A股   ytg
000089 深圳机场 深证A股   szjc
000090 天健集团 深证A股   tjjt
000096 广聚能源 深证A股   gjny
000099 中信海直 深证A股   zxhz
000100 TCL集团 深证A股   TCLjt
000150 宜华健康 深证A股   yhjk
000151 中成股份 深证A股   zcgf
000153 丰原药业 深证A股   fyyy
000155 *ST川化 深证A股   STch
000156 华数传媒 深证A股   hscm
000157 中联重科 深证A股   zlzk
000158 常山股份 深证A股   csgf
000159 国际实业 深证A股   gjsy
000166 申万宏源 深证A股   swhy
000301 东方市场 深证A股   dfsc
000333 美的集团 深证A股   mdjt
000338 潍柴动力 深证A股   wcdl
000400 许继电气 深证A股   xjdq
000401 冀东水泥 深证A股   jdsn
000402 金融街 深证A股   jrj
000403 ST生化 深证A股   STsh
000404 华意压缩 深证A股   hyys
000405 ST鑫光 深证A股   STxg
000406 石油大明 深证A股   sydm
000407 胜利股份 深证A股   slgf
000408 *ST金源 深证A股   STjy
000409 山东地矿 深证A股   sddk
000410 沈阳机床 深证A股   cyjc
000411 英特集团 深证A股   ytjt
000412 ST五环 深证A股   STwh
000413 东旭光电 深证A股   dxgd
000415 渤海金控 深证A股   bhjk
000416 民生控股 深证A股   mskg
000417 合肥百货 深证A股   hfbh
000418 小天鹅A 深证A股   xteA
000419 通程控股 深证A股   tckg
000420 吉林化纤 深证A股   jlhx
000421 南京中北 深证A股   njzb
000422 湖北宜化 深证A股   hbyh
000423 东阿阿胶 深证A股   daax
000425 徐工机械 深证A股   xgjx
000426 兴业矿业 深证A股   xyky
000428 华天酒店 深证A股   htjd
000429 粤高速A 深证A股   ygsA
000430 张家界 深证A股   zjj
000488 晨鸣纸业 深证A股   cmzy
000498 山东路桥 深证A股   sdlq
000501 鄂武商A 深证A股   ewsA
000502 绿景控股 深证A股   ljkg
000503 海虹控股 深证A股   hhkg
